,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
170,CERTIFIED,HONEY SCIENCE CORPORATION,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,117998,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
174,CERTIFIED,PI CHARGING INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,215862,2016,"MENLO PARK, CALIFORNIA",-122.1817252,37.4529598
175,CERTIFIED,"EXYN TECHNOLOGIES, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200,2016,"PHILADELPHIA, PENNSYLVANIA",-75.1652215,39.9525839
186,CERTIFIED,"ROUSH MANAGEMENT, L.L.C.",CHIEF EXECUTIVES,ENTERTAINMENT SYSTEMS ENGINEERING (ESE) DIRECTOR,Y,150779,2016,"LIVONIA, MICHIGAN",-83.3527097,42.36837
187,CERTIFIED,"SWIFT BEEF COMPANY, A JBS USA SUBSIDIARY",CHIEF EXECUTIVES,HEAD OF STRATEGY,Y,143458,2016,"GREELEY, COLORADO",-104.7091322,40.4233142
190,CERTIFIED,"MOON RIVER FOODS, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,N,45240,2016,"INDIANOLA, MISSISSIPPI",NA,NA
192,CERTIFIED,"UFI FILTERS USA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER - AMERICAS,Y,235518,2016,"TROY, MICHIGAN",-83.1497751,42.6064095
197,CERTIFIED,"DELAWARE CONSULTING US, INC.",CHIEF EXECUTIVES,OPEN TEXT STREAMSERVE CONSULTING MANAGER,Y,102190,2016,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
202,CERTIFIED,"PURCH GROUP, INC.",CHIEF EXECUTIVES,SENIOR VICE-PRESIDENT & GENERAL MANAGER,Y,156104,2016,"OGDEN, UTAH",-111.9738304,41.223
203,CERTIFIED,AERAS,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200,2016,"ROCKVILLE, MARYLAND",-77.1527578,39.0839973
204,CERTIFIED,"AVGOL AMERICA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF PURCHASING AND LOGISTICS,Y,155397,2016,"MOCKSVILLE, NORTH CAROLINA",NA,NA
206,CERTIFIED,HOTEL CONNECTIONS INC.,CHIEF EXECUTIVES,CHIEF OPERATIONS OFFICER,Y,205629,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
207,CERTIFIED,CURSELL LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,118061,2016,"HALLANDALE, FLORIDA",-80.148379,25.9812024
208,CERTIFIED,CURSELL LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER (COO),Y,118061,2016,"HALLANDALE BEACH, FLORIDA",-80.148379,25.9812024
213,CERTIFIED,ALTISOURCE ASSET MANAGEMENT CORPORATION,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,180502,2016,"CHRISTIANSTED, NA",-64.7031977,17.7466397
214,CERTIFIED,PARKLOCO INC.,CHIEF EXECUTIVES,CHIEF MANAGEMENT OFFICER,Y,119184,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
218,CERTIFIED,"TELEMUNDO MEDIA, LLC",CHIEF EXECUTIVES,SVP TALENT MANAGEMENT,Y,251909,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
220,CERTIFIED,SOFTMARKETING CORPORATION,CHIEF EXECUTIVES,BUSINESS MANAGER,Y,113090,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
223,CERTIFIED,"FRANKE FOODSERVICE SOLUTIONS, INC.",CHIEF EXECUTIVES,PRESIDENT OF SOLUTIONS,Y,210933,2016,"SMYRNA, TENNESSEE",-86.5186045,35.9828412
225,CERTIFIED,"FRANKE FOODSERVICE SOLUTIONS, INC.",CHIEF EXECUTIVES,PRESIDENT OF SOLUTIONS,Y,210933,2016,"SMYRNA, TENNESSEE",-86.5186045,35.9828412
227,CERTIFIED,PARKLOCO INC.,CHIEF EXECUTIVES,CHIEF MARKETING OFFICER,Y,119184,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
228,CERTIFIED,CALIFORNIA GALVANIZING AND STEEL STRUCTURES INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER/CHIEF FINANCIAL OFFICER,Y,99986,2016,"CHULA VISTA, CALIFORNIA",-117.0841955,32.6400541
232,CERTIFIED,OPUS DYNAMIC LLC,CHIEF EXECUTIVES,"SENIOR VICE PRESIDENT, HEAD OF SERVICE DESIGN & MOBILIZATION",Y,235518,2016,"BEVERLY HILLS, MICHIGAN",NA,NA
241,CERTIFIED,H & L INNOVATIONS LLC,CHIEF EXECUTIVES,CFO AND INTERNATIONAL RELATIONS MANAGER,N,64875,2016,"MADISON, WISCONSIN",-89.4012302,43.0730517
243,CERTIFIED,X-DRILL INC,CHIEF EXECUTIVES,"VICE PRESIDENT, QUALITY, HEALTH & SAFETY",Y,187200,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
245,CERTIFIED,SOFTMARKETING CORPORATION,CHIEF EXECUTIVES,BUSINESS MANAGER,Y,113090,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
249,CERTIFIED,"PRONTO GENERAL AGENCY, LTD.",CHIEF EXECUTIVES,PRESIDENT,Y,161179,2016,"BROWNSVILLE, TEXAS",-97.4974838,25.9017472
252,CERTIFIED,"SNAPRAYS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,66373,2016,"VINEYARD, UTAH",NA,NA
253,CERTIFIED,ZENEDGE INC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,113089.6,2016,"AVENTURA, FLORIDA",-80.1392121,25.9564812
255,CERTIFIED,SYSTEM LOGISTICS CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,92518,2016,"GRAND RAPIDS, MICHIGAN",-85.6680863,42.9633599
256,CERTIFIED,"AGLYTIX, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,174408,2016,"MANKATO, MINNESOTA",-93.9993996,44.1635775
263,CERTIFIED,"OFF CENTER RESTAURANT GROUP, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,113090,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
266,CERTIFIED,"MILLENNIUM ADVISORS, LLC",CHIEF EXECUTIVES,DIRECTOR ETF TRADING & CREDIT MARKETS,Y,187199,2016,"CHARLOTTE, NORTH CAROLINA",-80.8431267,35.2270869
267,CERTIFIED,MYCHILD INC.,CHIEF EXECUTIVES,CEO & SYSTEMS MANAGER,Y,82930,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
268,CERTIFIED,"KONCERT IT TECHNOLOGY SOLUTIONS, LLC",CHIEF EXECUTIVES,E-COMMERCE DIRECTOR,Y,252158.4,2016,"CINCINNATI, OHIO",-84.5120196,39.1031182
270,CERTIFIED,"CHARTA GLOBAL, INC.",CHIEF EXECUTIVES,MANAGING DIRECTOR/MARKETING - AMERICAS,Y,198266,2016,"ATLANTA, GEORGIA",-84.3879824,33.7489954
274,CERTIFIED,CELGENE CORPORATION,CHIEF EXECUTIVES,"SVP, WORLDWIDE MARKETS, I&I",Y,187200,2016,"SUMMIT, NEW JERSEY",-74.3646122,40.7146376
276,CERTIFIED,HERBSTREITH & FOX INC.,CHIEF EXECUTIVES,EXECUTIVE VICE PRESIDENT,Y,187200,2016,"ELMSFORD, NEW YORK",-73.8201337,41.0550969
277,CERTIFIED,"KONCERT IT SOLUTIONS, LLC",CHIEF EXECUTIVES,E-COMMERCE DIRECTOR,Y,252158.4,2016,"CINCINNATI, OHIO",-84.5120196,39.1031182
279,CERTIFIED,"PLASCO, LLC",CHIEF EXECUTIVES,DIRECTOR INTERNATIONAL STRATEGIC INITIATIVES,Y,159370,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
281,CERTIFIED,BARRY'S BOOTCAMP HOLDINGS LLC,CHIEF EXECUTIVES,CHIEF MARKETING OFFICER,Y,210122,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
282,CERTIFIED,WILD SOUL LLC,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,113090,2016,"KEY BISCAYNE, FLORIDA",-80.1628248,25.693713
284,CERTIFIED,THE MORGRIDGE INSTITUTE FOR RESEARCH INC.,CHIEF EXECUTIVES,DIRECTOR - MEDICAL ENGINEERING,Y,218733,2016,"MADISON, WISCONSIN",-89.4012302,43.0730517
285,CERTIFIED,WILLOWBRIDGE ASSOCIATES INC.,CHIEF EXECUTIVES,CHIEF RISK OFFICER,Y,187200,2016,"PLAINSBORO, NEW JERSEY",-74.585292,40.3382543
287,CERTIFIED,"DERMATOLOGIC COSMETIC LABORATORIES, LTD.",CHIEF EXECUTIVES,PRESIDENT/CEO,Y,151778,2016,"EAST HAVEN, CONNECTICUT",NA,NA
288,CERTIFIED,ALTO USA LLC,CHIEF EXECUTIVES,CEO,Y,205629,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
291,CERTIFIED,"KAUTEX MACHINES, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVES,Y,187200,2016,"NORTH BRANCH, NEW JERSEY",NA,NA
293,CERTIFIED,"THRU RAINBOW, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,102190,2016,"JACKSONVILLE, FLORIDA",-81.655651,30.3321838
297,CERTIFIED,"LASSONDE PAPPAS AND COMPANY, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,247832,2016,"CARNEYS POINT, NEW JERSEY",NA,NA
299,CERTIFIED,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CHIEF EXECUTIVES,ASSO. VICE CHANCELLOR FOR INTEL. PROP. AND IND. SPON. RES.,Y,91312,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
300,CERTIFIED,"VITASOY USA, INC.",CHIEF EXECUTIVES,PRESIDENT & CHIEF EXECUTIVE OFFICER,Y,209602,2016,"WOBURN, MASSACHUSETTS",-71.1522765,42.4792618
302,CERTIFIED,HEALTHJUMP INC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200,2016,"PHOENIXVILLE, PENNSYLVANIA",-75.5149128,40.1303822
304,CERTIFIED,AGCO CORPORATION,CHIEF EXECUTIVES,"VICE PRESIDENT, GLOBAL PURCHASING AND MATERIALS",Y,253635,2016,"DULUTH, GEORGIA",-84.1446376,34.0028786
307,CERTIFIED,"AGLYTIX, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,70900,2016,"MANKATO, MINNESOTA",-93.9993996,44.1635775
308,CERTIFIED,IMPERIAL PACIFIC INTERNATIONAL CNMI,CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF HOTEL OPERATIONS,Y,214790,2016,"SAIPAN, NA",145.7297891,15.1515153
309,CERTIFIED,"PGM TECHNOLOGIES, INC.",CHIEF EXECUTIVES,OPERATIONS MANAGER,N,50107,2016,"KNOXVILLE, TENNESSEE",-83.9207392,35.9606384
311,CERTIFIED,"STUDENTS FOR LIBERTY, INCORPORATED",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,103480,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
313,CERTIFIED,"TRAILRUNNER INTERNATIONAL, LLC",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,149594,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
314,CERTIFIED,LUXOTTICA RETAIL NORTH AMERICA INC.,CHIEF EXECUTIVES,SR. DIRECTOR - CONTINUOUS IMPROVEMENT,Y,155958,2016,"MASON, OHIO",-84.309939,39.3600586
318,CERTIFIED,BARRY'S BOOTCAMP HOLDINGS LLC,CHIEF EXECUTIVES,CHEIF MARKETING OFFICER,Y,240469,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
319,CERTIFIED,LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE,CHIEF EXECUTIVES,CHIEF SCIENTIFIC OFFICER,Y,162115,2016,"TORRANCE, CALIFORNIA",-118.3406288,33.8358492
320,CERTIFIED,"CHYY (USA), LLC, F/K/A HRC LEASING COMPANY, LLC",CHIEF EXECUTIVES,PRESIDENT,Y,252137.6,2016,"WATERLOO, NEBRASKA",NA,NA
322,CERTIFIED,AVURE TECHNOLOGIES INCORPORATED,CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,156354,2016,"MIDDLETOWN, OHIO",-84.3982763,39.5150576
324,CERTIFIED,"LAICON CONSULTING SERVICES, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,94057.6,2016,"ORLANDO, FLORIDA",-81.3792365,28.5383355
327,CERTIFIED,LIFE TECHNOLOGIES CORPORATION,CHIEF EXECUTIVES,"DIRECTOR, BUSINESS DEVELOPMENT",Y,163176,2016,"SOUTH SAN FRANCISCO, CALIFORNIA",-122.4077498,37.654656
328,CERTIFIED,IT PEOPLE NETWORK LLC,CHIEF EXECUTIVES,DIRECTOR,Y,85821,2016,"AURORA, ILLINOIS",-88.3200715,41.7605849
333,CERTIFIED,"OILFIELD STEEL SUPPLY, LLC",CHIEF EXECUTIVES,PRESIDENT,Y,197642,2016,"MAGNOLIA, TEXAS",-95.7507815,30.2093794
336,CERTIFIED,TRANS AMERICAN INFORMATION SYSTEMS INC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,229258,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
337,CERTIFIED,THE HENRY M. JACKSON FOUNDATION,CHIEF EXECUTIVES,ASSOCIATE DIRECTOR-THERAPEUTICS RESEARC,Y,247978,2016,"BETHESDA, MARYLAND",-77.0947092,38.984652
338,CERTIFIED,PEATIX INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,153005,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
342,CERTIFIED,EAPEIRON SOLUTIONS INC,CHIEF EXECUTIVES,BUSINESS DEVELOPMENT DIRECTOR,Y,109616,2016,"MIAMI LAKES, FLORIDA",-80.3086619,25.9087056
343,CERTIFIED,RIVIAN AUTOMOTIVE LLC,CHIEF EXECUTIVES,CHIEF STRATEGY OFFICER,Y,226574,2016,"SAN MATEO, CALIFORNIA",-122.3255254,37.5629917
345,CERTIFIED,"DIEFFENBACHER USA, INC.",CHIEF EXECUTIVES,PRESIDENT AND CEO,Y,199930,2016,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
346,CERTIFIED,"FINACCESS ADVISORS, LLC",CHIEF EXECUTIVES,"MANAGING DIRECTOR, FAMILY OFFICE SERVICES",Y,262413,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
349,CERTIFIED,MIDLANDS MANEGEMENT COMPANY,CHIEF EXECUTIVES,EXECUTIVE VICE PRESIDENT AND CHIEF OPERATING OFFICER,Y,173118,2016,"OKLAHOMA CITY, OKLAHOMA",-97.5164276,35.4675602
